FlightDate,flights_today,avg_prev_3_days
2019-08-01,22403,NULL
2019-08-02,22440,22403.0000
2019-08-03,19256,22421.5000
2019-08-04,21743,21366.3333
2019-08-05,22423,21146.3333
2019-08-06,21931,21140.6667
2019-08-07,22043,22032.3333
2019-08-08,22318,22132.3333
2019-08-09,22354,22097.3333
2019-08-10,18827,22238.3333
2019-08-11,21592,21166.3333
2019-08-12,22229,20924.3333
2019-08-13,21678,20882.6667
2019-08-14,21740,21833.0000
2019-08-15,22142,21882.3333
2019-08-16,22145,21853.3333
2019-08-17,18447,22009.0000
2019-08-18,21401,20911.3333
2019-08-19,22043,20664.3333
2019-08-20,21101,20630.3333
2019-08-21,21370,21515.0000
2019-08-22,21995,21504.6667
2019-08-23,21965,21488.6667
2019-08-24,17746,21776.6667
2019-08-25,21083,20568.6667
2019-08-26,21930,20264.6667
2019-08-27,21015,20253.0000
2019-08-28,21265,21342.6667
2019-08-29,21904,21403.3333
2019-08-30,21908,21394.6667
2019-08-31,16024,21692.3333
